crop_path,image_stem,damage_type,severity,confidence,reasoning,model
outputs/stage2_crops/crops/sindhu_v9__rear_winscreen--108-_jpg.rf.b1e8511c96d830fcfbf635b1c78ede67/2_0.jpg,sindhu_v9__rear_winscreen--108-_jpg.rf.b1e8511c96d830fcfbf635b1c78ede67,glass_damage,moderate,0.95,"The rear windshield is extensively shattered with a large missing section, requiring a complete replacement which typically falls within the ₹8,000 – ₹60,000 repair cost range.",gemini-2.5-flash
outputs/stage2_crops/crops/cardd_yolo__001691/2_0.jpg,cardd_yolo__001691,glass_damage,severe,0.95,"The windshield is completely shattered with a large hole, making the vehicle unsafe and not driveable, which constitutes significant functional damage.",gemini-2.5-flash
outputs/stage2_crops/crops/sindhu_v9__0093_JPEG.rf.562824348071ebf9e436d7fc23ce81a1/2_0.jpg,sindhu_v9__0093_JPEG.rf.562824348071ebf9e436d7fc23ce81a1,glass_damage,moderate,0.9,"The entire rear windshield is completely shattered and requires full replacement, which constitutes significant functional damage but typically falls within the moderate repair cost range of ₹8,000 – ₹60,000.",gemini-2.5-flash
outputs/stage2_crops/crops/cardd_yolo__003050/2_0.jpg,cardd_yolo__003050,glass_damage,severe,0.95,"The windshield is completely shattered across its entire surface, rendering the vehicle unsafe and legally undriveable due to a complete loss of forward visibility, requiring a full replacement which will exceed the moderate cost range.",gemini-2.5-flash
outputs/stage2_crops/crops/sindhu_v9__0169_jpeg.rf.41ec5d09e7afdbd0699fd6a03a40a444/0_2.jpg,sindhu_v9__0169_jpeg.rf.41ec5d09e7afdbd0699fd6a03a40a444,dent,moderate,0.9,"The image displays a visible dent on a body panel or bumper, which is more than cosmetic but does not appear to involve structural components or render the car undriveable, aligning with moderate damage repair costs.",gemini-2.5-flash
outputs/stage2_crops/crops/cardd_yolo__003300/2_1.jpg,cardd_yolo__003300,glass_damage,severe,0.95,"The windshield is completely shattered, leading to a total loss of visibility and making the vehicle unsafe and functionally undriveable, which falls under severe functional damage requiring a full replacement.",gemini-2.5-flash
outputs/stage2_crops/crops/cardd_yolo__001707/0_0.jpg,cardd_yolo__001707,dent,moderate,0.9,"The dent is deep with sharp creases and significant paint loss, indicating damage that will require professional bodywork and repainting, likely costing more than ₹8,000 but not necessarily involving structural components.",gemini-2.5-flash
outputs/stage2_crops/crops/cardd_yolo__003869/3_0.jpg,cardd_yolo__003869,light_damage,moderate,0.9,"The headlight lens is severely cracked and broken, compromising the functionality and integrity of the light, indicating a repair cost likely between ₹8,000 and ₹60,000 for replacement.",gemini-2.5-flash
outputs/stage2_crops/crops/sindhu_v9__body_pannel--63-_jpg.rf.9da9381bba84d17282a0830344f2edc4/0_0.jpg,sindhu_v9__body_pannel--63-_jpg.rf.9da9381bba84d17282a0830344f2edc4,dent,moderate,0.9,"The dent is deep and extensive, requiring significant bodywork and repainting to restore the panel, which estimates the repair cost in the moderate range of ₹8,000 – ₹60,000.",gemini-2.5-flash
outputs/stage2_crops/crops/cardd_yolo__001218/2_0.jpg,cardd_yolo__001218,glass_damage,severe,0.95,"The windshield is extensively shattered with a large hole, rendering the vehicle unsafe and undriveable due to compromised visibility and structural integrity, which constitutes severe functional and structural damage requiring a full replacement.",gemini-2.5-flash
outputs/stage2_crops/crops/sindhu_v9__0312_JPEG.rf.a990de48e876c4050b5f7588ab60bc43/0_0.jpg,sindhu_v9__0312_JPEG.rf.a990de48e876c4050b5f7588ab60bc43,dent,moderate,0.9,"The visible dent is deep and covers a significant area, suggesting it will require more than minor cosmetic repair, likely involving panel work and painting which falls into the moderate cost range.",gemini-2.5-flash
outputs/stage2_crops/crops/cardd_yolo__003106/2_0.jpg,cardd_yolo__003106,glass_damage,severe,0.95,"The windshield is completely shattered with multiple large holes and rocks inside, rendering the vehicle undriveable due to a complete loss of visibility and compromised structural integrity.",gemini-2.5-flash
outputs/stage2_crops/crops/sindhu_v9__front_bumper-sep23---48-_jpg.rf.ec54acb66c02b06a9d3b6d0045348ad7/0_1.jpg,sindhu_v9__front_bumper-sep23---48-_jpg.rf.ec54acb66c02b06a9d3b6d0045348ad7,dent,moderate,0.9,"The image shows a significant dent on the body panel that will require extensive bodywork and repainting, indicating a repair cost likely between ₹8,000 and ₹60,000 without apparent structural damage.",gemini-2.5-flash
outputs/stage2_crops/crops/sindhu_v9__rear_winscreen--41-_jpg.rf.bc77f040401483607b0c3ee48bde4a7e/2_0.jpg,sindhu_v9__rear_winscreen--41-_jpg.rf.bc77f040401483607b0c3ee48bde4a7e,glass_damage,moderate,0.9,"The rear windshield is completely shattered and partially missing, which is a significant visible damage impacting the car's functionality and security, with repair costs typically falling within the ₹8,000 – ₹60,000 range.",gemini-2.5-flash
outputs/stage2_crops/crops/sindhu_v9__0153_JPEG.rf.b0ba299374595b1805c65298b2fb3cc0/0_0.jpg,sindhu_v9__0153_JPEG.rf.b0ba299374595b1805c65298b2fb3cc0,dent,severe,0.95,"The door panel is severely buckled and crumpled with multiple deep creases, indicating significant structural and functional damage that would require extensive repair or likely replacement, easily exceeding ₹60,000.",gemini-2.5-flash
