crop_path,image_stem,damage_type,severity,confidence,reasoning,model
outputs/stage2_crops/crops/sindhu_v9__rear_winscreen--108-_jpg.rf.b1e8511c96d830fcfbf635b1c78ede67/2_0.jpg,sindhu_v9__rear_winscreen--108-_jpg.rf.b1e8511c96d830fcfbf635b1c78ede67,glass_damage,severe,0.9,"The rear window is shattered with significant glass loss, indicating major damage.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__001691/2_0.jpg,cardd_yolo__001691,glass_damage,severe,0.9,"The windshield is shattered with significant glass loss, indicating severe damage.",gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__0093_JPEG.rf.562824348071ebf9e436d7fc23ce81a1/2_0.jpg,sindhu_v9__0093_JPEG.rf.562824348071ebf9e436d7fc23ce81a1,glass_damage,severe,0.9,"The damage includes significant dents and deformation on the glass, indicating major glass loss and potential structural impact.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__003050/2_0.jpg,cardd_yolo__003050,glass_damage,severe,0.9,"The windshield is shattered with extensive glass damage, indicating major glass loss.",gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__0169_jpeg.rf.41ec5d09e7afdbd0699fd6a03a40a444/0_2.jpg,sindhu_v9__0169_jpeg.rf.41ec5d09e7afdbd0699fd6a03a40a444,dent,mild,0.8,"The visible damage appears to be a small dent with paint intact, consistent with the mild severity definition.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__003300/2_1.jpg,cardd_yolo__003300,glass_damage,severe,0.9,"The windshield is shattered with significant glass damage, indicating major glass loss.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__001707/0_0.jpg,cardd_yolo__001707,dent,mild,0.8,The visible damage appears to be a small dent with no paint depth penetration and no cracked or broken parts.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__003869/3_0.jpg,cardd_yolo__003869,light_damage,moderate,0.8,"The headlight shows signs of cracking, indicating damage to the lens without being completely broken off.",gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__body_pannel--63-_jpg.rf.9da9381bba84d17282a0830344f2edc4/0_0.jpg,sindhu_v9__body_pannel--63-_jpg.rf.9da9381bba84d17282a0830344f2edc4,dent,moderate,0.8,"The dent appears to be larger than 2 cm and may have caused some paint damage, indicating a moderate level of severity.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__001218/2_0.jpg,cardd_yolo__001218,glass_damage,severe,0.9,"The rear window is shattered with a large hole, indicating major glass loss.",gpt-4o-mini
