crop_path,image_stem,damage_type,severity,confidence,reasoning,model
outputs/stage2_crops/crops/cardd_yolo__000975/0_4.jpg,cardd_yolo__000975,dent,severe,0.9,"The damage appears to involve structural components and significant impact, indicating high repair costs.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__003132/3_0.jpg,cardd_yolo__003132,light_damage,mild,0.9,The damage appears to be cosmetic with no visible structural impact.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__001204/0_0.jpg,cardd_yolo__001204,dent,mild,0.9,The damage appears to be cosmetic with no visible structural impact.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__003596/0_1.jpg,cardd_yolo__003596,dent,mild,0.9,The dent appears to be cosmetic with no visible structural impact.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__003409/3_0.jpg,cardd_yolo__003409,light_damage,severe,0.9,"The damage appears to involve significant structural impact to the vehicle's front end, likely affecting functionality.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__000703/1_0.jpg,cardd_yolo__000703,scratch,mild,0.9,"The damage appears to be cosmetic with no structural impact, likely requiring a repair cost under Rs.8,000.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__002934/3_0.jpg,cardd_yolo__002934,light_damage,mild,0.9,The damage appears to be cosmetic with no visible structural impact on the vehicle.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__001266/3_1.jpg,cardd_yolo__001266,light_damage,moderate,0.8,"The headlight is visibly damaged, affecting functionality, but the car is still driveable.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__001470/3_1.jpg,cardd_yolo__001470,light_damage,mild,0.9,The damage appears to be cosmetic with no visible structural impact.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__001772/1_0.jpg,cardd_yolo__001772,scratch,mild,0.9,The damage appears to be primarily cosmetic with no visible structural impact.,gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__image_393_jpg.rf.43eefd3a0ffa6d1d458aef6ca2131900/0_0.jpg,sindhu_v9__image_393_jpg.rf.43eefd3a0ffa6d1d458aef6ca2131900,dent,moderate,0.8,"The dent is significant enough to suggest visible damage, but the car appears driveable and likely falls within the moderate repair cost range.",gpt-4o-mini
