crop_path,image_stem,damage_type,severity,confidence,reasoning,model
outputs/stage2_crops/crops/sindhu_v9__back_light-1---28-_jpg.rf.4bd126a5cc83a2100b079fa6a2668d0a/3_0.jpg,sindhu_v9__back_light-1---28-_jpg.rf.4bd126a5cc83a2100b079fa6a2668d0a,light_damage,mild,0.9,"The image shows a light damage with no visible cracks or broken parts, indicating superficial scratches and minor scuffs.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__000928/0_6.jpg,cardd_yolo__000928,dent,mild,0.8,The visible damage appears to be a small dent with no paint depth penetration.,gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__image_579_jpg.rf.ad2286fab7953db6b64dde7c3528d6bf/0_0.jpg,sindhu_v9__image_579_jpg.rf.ad2286fab7953db6b64dde7c3528d6bf,dent,severe,0.9,"The broken window indicates major glass loss, which falls under severe damage classification.",gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__rear_bumber--35-_jpg.rf.4ceb24b73ae5283e9c8cb15a38a58913/0_0.jpg,sindhu_v9__rear_bumber--35-_jpg.rf.4ceb24b73ae5283e9c8cb15a38a58913,dent,mild,0.8,The visible damage appears to be a small dent with no paint depth penetration and no cracked or broken parts.,gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__image_103_jpg.rf.17e2f391d1d972318e4c450d2ceef733/0_1.jpg,sindhu_v9__image_103_jpg.rf.17e2f391d1d972318e4c450d2ceef733,dent,mild,0.8,The visible damage appears to be a small dent with no paint depth penetration and no cracked or broken parts.,gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__oct-5-1---24-_jpg.rf.329d2ca464176d4ebb43a6f79f00e931/0_0.jpg,sindhu_v9__oct-5-1---24-_jpg.rf.329d2ca464176d4ebb43a6f79f00e931,dent,moderate,0.8,"The damage includes a noticeable dent and scratches that appear to expose the primer, indicating a depth beyond superficial damage.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__002452/0_2.jpg,cardd_yolo__002452,dent,mild,0.8,The visible dent appears to be small and does not show any paint damage or depth penetration.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__000564/3_4.jpg,cardd_yolo__000564,light_damage,mild,0.8,"The visible damage appears to be superficial with no significant dents or cracks, indicating only minor scuffs or scratches.",gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__damaged-car-door-traffic-accident-93142667_jpg.rf.cd2a9bf07caa011be77077c5ef46a1db/0_0.jpg,sindhu_v9__damaged-car-door-traffic-accident-93142667_jpg.rf.cd2a9bf07caa011be77077c5ef46a1db,dent,moderate,0.8,The dent appears to be larger than 2 cm and may involve some panel deformation without structural impact.,gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__minor_roof--34-_jpg.rf.153f1000af20e1d6560ba77908f9f7b8/0_1.jpg,sindhu_v9__minor_roof--34-_jpg.rf.153f1000af20e1d6560ba77908f9f7b8,dent,mild,0.9,The visible damage consists of small dents that appear to be less than 2 cm in diameter with the paint intact.,gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__ia_300000088--1-_jpg.rf.ade890851d262bfd9434c2c226c5c569/0_0.jpg,sindhu_v9__ia_300000088--1-_jpg.rf.ade890851d262bfd9434c2c226c5c569,dent,mild,0.9,The damage consists of a small dent and superficial scratches without paint depth penetration.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__001623/1_3.jpg,cardd_yolo__001623,scratch,mild,0.9,The damage consists of superficial scratches with no visible paint depth penetration.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__000926/0_3.jpg,cardd_yolo__000926,dent,mild,0.8,The visible dent appears to be small and does not show any paint damage or significant deformation.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__002503/0_3.jpg,cardd_yolo__002503,dent,mild,0.8,The visible damage appears to be a small dent with no paint depth penetration and no cracked or broken parts.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__002839/1_2.jpg,cardd_yolo__002839,scratch,mild,0.9,The visible scratches appear to be superficial and less than 10 cm in length with no paint depth penetration.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__002265/0_4.jpg,cardd_yolo__002265,dent,mild,0.8,The visible damage appears to be a small dent with no paint depth penetration.,gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__000429/1_3.jpg,cardd_yolo__000429,scratch,mild,0.9,The visible damage consists of superficial scratches that appear to be less than 10 cm with no paint depth penetration.,gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__minor_roof--17-_jpg.rf.38a59b77afd89335df01ed52cc8c4485/0_2.jpg,sindhu_v9__minor_roof--17-_jpg.rf.38a59b77afd89335df01ed52cc8c4485,dent,mild,0.9,The visible dents appear to be small and do not show any paint damage or depth penetration.,gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__image_36_jpg.rf.de4402127e97797b6019f722c93cce40/0_0.jpg,sindhu_v9__image_36_jpg.rf.de4402127e97797b6019f722c93cce40,dent,mild,0.9,"The visible damage appears to be a small dent with paint intact, consistent with the mild severity definition.",gpt-4o-mini
outputs/stage2_crops/crops/cardd_yolo__000406/0_8.jpg,cardd_yolo__000406,dent,moderate,0.8,"The dent appears to be larger than 2 cm and may involve some panel deformation, but there are no visible cracks or broken parts.",gpt-4o-mini
outputs/stage2_crops/crops/sindhu_v9__image_610_jpg.rf.5c784f03c5be55aff4ebe820c14df511/0_0.jpg,sindhu_v9__image_610_jpg.rf.5c784f03c5be55aff4ebe820c14df511,dent,moderate,0.8,"The visible dent appears to be larger than 2 cm and may involve some paint damage, indicating a moderate level of severity.",gpt-4o-mini
